artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min
Gen Hoshino,Comedy,Comedy,73.0,230666.0,False,0.676,0.461,1.0,-6.746,0.0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4.0,acoustic,3.8444333333333334
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55.0,149610.0,False,0.42,0.166,1.0,-17.235,1.0,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4.0,acoustic,2.4935
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57.0,210826.0,False,0.438,0.359,0.0,-9.734,1.0,0.0557,0.21,0.0,0.117,0.12,76.332,4.0,acoustic,3.5137666666666667
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71.0,201933.0,False,0.266,0.0596,0.0,-18.515,1.0,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3.0,acoustic,3.36555
Chord Overstreet,Hold On,Hold On,82.0,198853.0,False,0.618,0.443,2.0,-9.681,1.0,0.0526,0.469,0.0,0.0829,0.167,119.949,4.0,acoustic,3.314216666666667
Tyrone Wells,Days I Will Remember,Days I Will Remember,58.0,214240.0,False,0.688,0.481,6.0,-8.807,1.0,0.105,0.289,0.0,0.189,0.666,98.017,4.0,acoustic,3.570666666666667
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74.0,229400.0,False,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,acoustic,3.8233333333333333
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80.0,242946.0,False,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic,4.0491
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74.0,189613.0,False,0.625,0.414,0.0,-8.7,1.0,0.0369,0.294,0.0,0.151,0.669,130.088,4.0,acoustic,3.1602166666666665
Ross Copperman,Hunger,Hunger,56.0,205594.0,False,0.442,0.632,1.0,-6.77,1.0,0.0295,0.426,0.00419,0.0735,0.196,78.899,4.0,acoustic,3.4265666666666665
Zack Tabudlo,Episode,Give Me Your Forever,74.0,244800.0,False,0.627,0.363,8.0,-8.127,1.0,0.0291,0.279,0.0,0.0928,0.301,99.905,4.0,acoustic,4.08
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69.0,240165.0,False,0.483,0.303,4.0,-10.058,1.0,0.0429,0.694,0.0,0.115,0.139,133.406,3.0,acoustic,4.00275
Dan Berk,Solo,Solo,52.0,198712.0,False,0.489,0.314,7.0,-9.245,0.0,0.0331,0.749,0.0,0.113,0.607,124.234,4.0,acoustic,3.3118666666666665
Anna Hamilton,Bad Liar,Bad Liar,62.0,248448.0,False,0.691,0.234,3.0,-6.441,1.0,0.0285,0.777,0.0,0.12,0.209,87.103,4.0,acoustic,4.1408
Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56.0,188133.0,False,0.755,0.78,2.0,-6.084,1.0,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4.0,acoustic,3.13555
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58.0,244986.0,False,0.489,0.561,4.0,-7.933,1.0,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3.0,acoustic,4.0831
Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56.0,129750.0,False,0.706,0.112,2.0,-18.098,1.0,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4.0,acoustic,2.1625
Andrew Foy;Renee Foy,At My Worst,At My Worst,54.0,169728.0,False,0.795,0.0841,10.0,-18.09,0.0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4.0,acoustic,2.8288
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68.0,189613.0,False,0.625,0.414,0.0,-8.7,1.0,0.0369,0.294,0.0,0.151,0.669,130.088,4.0,acoustic,3.1602166666666665
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67.0,260186.0,False,0.717,0.32,3.0,-8.393,1.0,0.0283,0.83,0.0,0.107,0.322,107.946,4.0,acoustic,4.336433333333333
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75.0,242946.0,False,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic,4.0491
Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63.0,174174.0,False,0.678,0.351,0.0,-8.654,1.0,0.0266,0.747,0.0,0.355,0.569,90.032,4.0,acoustic,2.9029
A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70.0,229400.0,False,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,acoustic,3.8233333333333333
Jason Mraz,Coffee Moment,93 Million Miles,0.0,216386.0,False,0.572,0.454,3.0,-10.286,1.0,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4.0,acoustic,3.6064333333333334
Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0.0,231266.0,False,0.796,0.667,5.0,-4.831,0.0,0.0392,0.381,0.0,0.221,0.754,97.988,4.0,acoustic,3.854433333333333
Jason Mraz,Mellow Adult Pop,Bella Luna,1.0,302346.0,False,0.755,0.454,9.0,-9.609,0.0,0.0352,0.757,0.0,0.236,0.33,120.06,4.0,acoustic,5.0391
Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0.0,131760.0,False,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic,2.196
Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0.0,273653.0,False,0.633,0.429,4.0,-6.784,0.0,0.0381,0.0444,0.0,0.132,0.52,143.793,4.0,acoustic,4.560883333333333
Jason Mraz,Christmas Time,Winter Wonderland,0.0,131760.0,False,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic,2.196
Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0.0,131760.0,False,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic,2.196
Jason Mraz,Merry Christmas,Winter Wonderland,0.0,131760.0,False,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic,2.196
Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0.0,131760.0,False,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic,2.196
Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0.0,234186.0,False,0.593,0.455,6.0,-8.192,1.0,0.0388,0.366,0.0,0.0914,0.564,202.019,4.0,acoustic,3.9031
Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0.0,259558.0,False,0.296,0.206,0.0,-11.799,1.0,0.0412,0.782,0.000225,0.0959,0.202,165.4,4.0,acoustic,4.325966666666667
Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0.0,259558.0,False,0.296,0.206,0.0,-11.799,1.0,0.0412,0.782,0.000225,0.0959,0.202,165.4,4.0,acoustic,4.325966666666667
Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0.0,259558.0,False,0.296,0.206,0.0,-11.799,1.0,0.0412,0.782,0.000225,0.0959,0.202,165.4,4.0,acoustic,4.325966666666667
KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0.0,257493.0,False,0.409,0.153,6.0,-10.74,0.0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4.0,acoustic,4.29155
Brandi Carlile,rainy day indie,Throwing Good After Bad,0.0,247791.0,False,0.501,0.0952,2.0,-12.931,1.0,0.054,0.963,1.58e-05,0.0915,0.316,138.016,4.0,acoustic,4.12985
Brandi Carlile,Coffee Moment,This Time Tomorrow,0.0,206267.0,False,0.606,0.326,10.0,-10.031,1.0,0.0294,0.841,0.0,0.139,0.414,91.626,4.0,acoustic,3.4377833333333334
KT Tunstall,sadsadchristmas,Lonely This Christmas,0.0,257493.0,False,0.409,0.153,6.0,-10.74,0.0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4.0,acoustic,4.29155
Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0.0,306794.0,False,0.474,0.519,7.0,-5.291,1.0,0.0253,0.281,0.0,0.107,0.326,151.832,4.0,acoustic,5.1132333333333335
Brandi Carlile,Mellow Adult Pop,When You're Wrong,0.0,266960.0,False,0.568,0.301,10.0,-10.163,0.0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,4.0,acoustic,4.449333333333334
Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0.0,193943.0,False,0.476,0.666,6.0,-3.438,1.0,0.0446,0.314,0.0,0.342,0.498,148.155,4.0,acoustic,3.2323833333333334
Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0.0,230098.0,False,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic,3.834966666666667
Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46.0,213098.0,False,0.596,0.2,0.0,-10.424,0.0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4.0,acoustic,3.551633333333333
Motohiro Hata,Documentary,透明だった世界,61.0,232360.0,False,0.373,0.914,0.0,-4.185,1.0,0.0565,0.076,0.0,0.669,0.56,168.21,4.0,acoustic,3.8726666666666665
Andrew Belle,Black Bear,Pieces,60.0,241119.0,False,0.494,0.652,6.0,-5.863,0.0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4.0,acoustic,4.01865
Ron Pope,The Bedroom Demos,A Drop in the Ocean,68.0,220239.0,False,0.447,0.393,5.0,-8.65,1.0,0.038,0.785,0.0,0.28,0.564,73.139,3.0,acoustic,3.67065
Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52.0,171543.0,False,0.576,0.331,6.0,-9.389,0.0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4.0,acoustic,2.85905
Andrew Belle,Black Bear,The Enemy,62.0,286865.0,False,0.536,0.89,1.0,-5.222,1.0,0.0375,0.078,0.0202,0.131,0.273,121.974,4.0,acoustic,4.781083333333333
Aron Wright,Build It Better,Build It Better,51.0,234473.0,False,0.526,0.333,4.0,-13.02,1.0,0.0314,0.91,0.168,0.111,0.159,94.951,4.0,acoustic,3.9078833333333334
Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0.0,216000.0,False,0.501,0.381,0.0,-9.448,1.0,0.036,0.687,0.00133,0.119,0.502,80.075,4.0,acoustic,3.6
Sara Bareilles,Little Voice,Gravity,67.0,232760.0,False,0.27,0.275,0.0,-10.357,1.0,0.0356,0.834,0.0,0.146,0.231,168.964,4.0,acoustic,3.8793333333333333
Chord Overstreet,What's Left of You,What's Left of You,57.0,178600.0,True,0.731,0.507,0.0,-6.477,1.0,0.046,0.572,0.0,0.0912,0.265,117.969,4.0,acoustic,2.9766666666666666
Zack Tabudlo,Pano,Pano,75.0,254400.0,False,0.375,0.457,3.0,-7.018,1.0,0.0315,0.868,0.0145,0.191,0.415,174.839,3.0,acoustic,4.24
Andrew Belle,The Daylight EP,Sky's Still Blue,62.0,244320.0,False,0.43,0.791,6.0,-5.419,0.0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4.0,acoustic,4.072
Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66.0,124933.0,False,0.616,0.282,1.0,-15.317,1.0,0.0331,0.983,0.833,0.13,0.435,96.638,4.0,acoustic,2.0822166666666666
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64.0,222146.0,False,0.705,0.347,2.0,-8.249,1.0,0.0301,0.674,0.0,0.12,0.36,80.057,4.0,acoustic,3.7024333333333335
Tim Halperin,Covers,Always Be My Baby,62.0,181852.0,False,0.582,0.255,4.0,-10.254,1.0,0.0306,0.772,0.0,0.0889,0.285,139.884,4.0,acoustic,3.030866666666667
Canyon City,Midnight Waves,Alone with You,58.0,186584.0,False,0.549,0.274,1.0,-12.565,1.0,0.0379,0.798,6.63e-06,0.103,0.207,86.664,4.0,acoustic,3.1097333333333332
Aaron Espe,Making All Things New,Making All Things New,65.0,159600.0,False,0.787,0.355,0.0,-11.429,1.0,0.0288,0.896,0.0201,0.111,0.48,99.978,4.0,acoustic,2.66
Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67.0,250266.0,False,0.397,0.303,5.0,-7.508,1.0,0.0435,0.381,0.0,0.101,0.172,81.05,4.0,acoustic,4.1711
Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65.0,318908.0,False,0.548,0.42,0.0,-7.842,1.0,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,4.0,acoustic,5.315133333333334
Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44.0,222351.0,False,0.787,0.403,0.0,-11.989,1.0,0.033,0.603,0.00857,0.131,0.264,118.042,4.0,acoustic,3.70585
Ron Pope,Whatever It Takes,A Drop In the Ocean,55.0,219480.0,False,0.484,0.573,5.0,-6.183,1.0,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,3.0,acoustic,3.658
Five For Fighting,America Town,Superman (It's Not Easy),70.0,221693.0,False,0.382,0.416,0.0,-9.303,1.0,0.0302,0.0733,0.0,0.0719,0.125,102.089,4.0,acoustic,3.6948833333333333
Andrew Belle,Dive Deep,When the End Comes,57.0,354400.0,False,0.541,0.575,9.0,-9.463,1.0,0.0491,0.677,0.215,0.102,0.428,91.98,4.0,acoustic,5.906666666666666
Bailey Jehl,You're Still The One,You're Still The One,56.0,177500.0,False,0.607,0.473,2.0,-8.555,1.0,0.034,0.712,0.0,0.66,0.54,119.698,4.0,acoustic,2.9583333333333335
Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56.0,247840.0,False,0.417,0.595,6.0,-7.84,1.0,0.0396,0.158,0.000269,0.101,0.117,147.928,4.0,acoustic,4.1306666666666665
Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67.0,216386.0,False,0.572,0.454,3.0,-10.286,1.0,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4.0,acoustic,3.6064333333333334
A Great Big World,When the Morning Comes,Kaleidoscope,62.0,229320.0,False,0.709,0.913,7.0,-5.148,1.0,0.0748,0.0182,0.0,0.167,0.519,108.024,4.0,acoustic,3.822
Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,45.0,330933.0,False,0.537,0.342,2.0,-13.553,1.0,0.0273,0.645,0.266,0.0687,0.253,109.236,4.0,acoustic,5.51555
Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64.0,172213.0,False,0.602,0.336,8.0,-11.106,1.0,0.0369,0.883,0.0017,0.143,0.335,90.894,4.0,acoustic,2.870216666666667
Jason Mraz,Know.,Have It All,65.0,226106.0,False,0.643,0.638,1.0,-4.947,0.0,0.0407,0.204,0.0,0.0707,0.6,82.001,4.0,acoustic,3.7684333333333333
Gabrielle Aplin,Mellow Adult Pop,Heavy Heart,0.0,235173.0,False,0.451,0.7,10.0,-6.597,0.0,0.0431,0.455,0.00233,0.405,0.37,150.055,4.0,acoustic,3.91955
Gabrielle Aplin,Break Up Songs,The House We Never Built,0.0,195213.0,False,0.546,0.391,2.0,-10.786,0.0,0.063,0.784,2.72e-06,0.0552,0.202,139.669,4.0,acoustic,3.25355
Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68.0,236306.0,False,0.561,0.327,11.0,-10.835,0.0,0.0327,0.902,0.000469,0.111,0.298,161.858,4.0,acoustic,3.9384333333333332
Gabrielle Aplin,u don't deserve me,Please Don't Say You Love Me,0.0,181400.0,False,0.479,0.541,0.0,-9.862,1.0,0.0543,0.74,0.0,0.108,0.3,85.994,4.0,acoustic,3.0233333333333334
Gabrielle Aplin,Coffee Moment,Please Don't Say You Love Me,0.0,181400.0,False,0.479,0.541,0.0,-9.862,1.0,0.0543,0.74,0.0,0.108,0.3,85.994,4.0,acoustic,3.0233333333333334
Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61.0,164500.0,False,0.436,0.4,7.0,-11.485,1.0,0.0272,0.904,0.00105,0.125,0.351,100.734,4.0,acoustic,2.7416666666666667
Sara Bareilles,The Blessed Unrest,Brave,70.0,220573.0,False,0.551,0.836,10.0,-3.838,0.0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4.0,acoustic,3.6762166666666665
KT Tunstall,Slow Christmas Songs 2022,Lonely This Christmas,0.0,257493.0,False,0.409,0.153,6.0,-10.74,0.0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4.0,acoustic,4.29155
KT Tunstall,Lonely Christmas 2022,Lonely This Christmas,0.0,257493.0,False,0.409,0.153,6.0,-10.74,0.0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4.0,acoustic,4.29155
Five For Fighting,Bookmarks,Heaven Knows,62.0,210612.0,False,0.6,0.845,10.0,-7.076,1.0,0.0311,0.048,0.0,0.24,0.392,97.631,4.0,acoustic,3.5102
The Civil Wars,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
The Civil Wars,Alternative Christmas 2022,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
KT Tunstall,Alternative Christmas 2022,Fairytale Of New York,0.0,263866.0,False,0.447,0.555,2.0,-6.018,1.0,0.0349,0.218,3.46e-06,0.124,0.33,117.888,3.0,acoustic,4.397766666666667
The Civil Wars,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
The Civil Wars,Lonely Christmas 2022,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
The Civil Wars,sadsadchristmas,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0.0,154440.0,False,0.492,0.145,2.0,-14.504,0.0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4.0,acoustic,2.574
KT Tunstall,Del gusto de mamá,Hold On,0.0,177613.0,False,0.661,0.937,4.0,-5.157,0.0,0.0979,0.322,1.04e-06,0.19,0.805,105.549,4.0,acoustic,2.9602166666666667
KT Tunstall,OO's Music Grandi Successi,Suddenly I See,0.0,199040.0,False,0.603,0.78,0.0,-5.531,1.0,0.0438,0.139,0.0,0.164,0.693,100.499,4.0,acoustic,3.3173333333333335
Motohiro Hata,言ノ葉,Rain,58.0,293040.0,False,0.626,0.655,9.0,-6.69,1.0,0.0263,0.503,0.0,0.13,0.542,92.003,4.0,acoustic,4.884
Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,50.0,138495.0,False,0.794,0.38,10.0,-8.769,0.0,0.0477,0.762,0.0,0.262,0.617,114.99,4.0,acoustic,2.30825
Andrew Belle,Black Bear (Hushed),Pieces (Hushed),59.0,198626.0,False,0.52,0.279,5.0,-10.739,0.0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4.0,acoustic,3.310433333333333
Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57.0,292566.0,False,0.545,0.658,1.0,-7.174,1.0,0.0474,0.496,0.0,0.105,0.683,76.971,4.0,acoustic,4.8761
Boyce Avenue,Stand by Me,Stand by Me,60.0,199019.0,False,0.728,0.266,8.0,-7.322,1.0,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4.0,acoustic,3.3169833333333334
Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61.0,181760.0,False,0.66,0.407,7.0,-8.381,1.0,0.0571,0.236,0.0,0.109,0.257,133.86,4.0,acoustic,3.029333333333333
Mone Kamishiraishi,chouchou,なんでもないや - movie ver.,49.0,349920.0,False,0.357,0.161,8.0,-10.667,1.0,0.0388,0.971,1.4e-05,0.358,0.325,83.449,4.0,acoustic,5.832
John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,55.0,204973.0,False,0.479,0.154,2.0,-11.282,1.0,0.0352,0.915,0.0,0.0974,0.36,147.207,4.0,acoustic,3.4162166666666667
Kitri,Hikare Inochi,Hikare Inochi,51.0,322146.0,False,0.592,0.769,2.0,-5.268,1.0,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4.0,acoustic,5.3691
Tyler Ward,Songs From Nashville,How To Lose a Girl,46.0,210375.0,False,0.7,0.454,7.0,-10.39,0.0,0.0388,0.55,0.0022,0.121,0.34,80.011,3.0,acoustic,3.50625
Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57.0,131000.0,False,0.402,0.197,5.0,-10.775,1.0,0.0295,0.858,1.05e-06,0.114,0.148,100.044,3.0,acoustic,2.183333333333333
Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),58.0,218531.0,False,0.507,0.378,9.0,-9.019,1.0,0.0332,0.852,0.000212,0.0937,0.085,135.86,4.0,acoustic,3.6421833333333336
Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),51.0,195945.0,False,0.619,0.226,4.0,-13.453,1.0,0.0641,0.959,4.42e-05,0.106,0.188,124.96,3.0,acoustic,3.26575
Augustana,All The Stars and Boulevards,Boston,63.0,245933.0,False,0.404,0.571,0.0,-5.069,1.0,0.0303,0.182,2.08e-05,0.129,0.29,147.01,4.0,acoustic,4.098883333333333
Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,53.0,212386.0,False,0.418,0.79,4.0,-6.599,0.0,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,4.0,acoustic,3.5397666666666665
Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60.0,225165.0,False,0.633,0.299,11.0,-7.798,1.0,0.0353,0.833,0.0,0.109,0.341,147.549,4.0,acoustic,3.75275
Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),47.0,112008.0,False,0.565,0.0392,1.0,-28.276,1.0,0.045,0.835,0.183,0.117,0.601,125.399,4.0,acoustic,1.8668
Kina Grannis,You Are My Sunshine,You Are My Sunshine,60.0,123609.0,False,0.664,0.0755,10.0,-19.836,1.0,0.0389,0.91,0.0,0.164,0.575,80.004,1.0,acoustic,2.06015
Jason Mraz,I Won't Give Up,I Won't Give Up,66.0,240165.0,False,0.585,0.303,4.0,-10.058,1.0,0.0398,0.694,0.0,0.115,0.142,136.703,3.0,acoustic,4.00275
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,67.0,265843.0,False,0.65,0.271,9.0,-11.081,1.0,0.0314,0.794,6.9e-05,0.196,0.21,78.036,4.0,acoustic,4.430716666666667
Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,43.0,194194.0,False,0.534,0.213,1.0,-8.64,1.0,0.0283,0.884,0.0,0.107,0.0998,98.385,4.0,acoustic,3.2365666666666666
Catherine Feeny,Hurricane Glass,Mr Blue,54.0,154600.0,False,0.456,0.386,10.0,-10.293,1.0,0.032,0.835,0.108,0.389,0.612,165.733,4.0,acoustic,2.5766666666666667
Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60.0,158960.0,False,0.409,0.234,3.0,-13.711,1.0,0.0323,0.338,5e-05,0.0895,0.145,139.832,4.0,acoustic,2.6493333333333333
Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go,49.0,319000.0,False,0.502,0.53,2.0,-9.573,1.0,0.0266,0.805,0.000738,0.0728,0.102,78.046,4.0,acoustic,5.316666666666666
JJ Heller,You Already Know,You Already Know,57.0,214360.0,False,0.496,0.117,0.0,-12.884,1.0,0.0301,0.933,0.0,0.126,0.318,78.068,4.0,acoustic,3.5726666666666667
Ben Woodward,Believer (Remix),Believer (Remix),42.0,204480.0,False,0.585,0.724,1.0,-6.513,0.0,0.0745,0.315,0.0681,0.0448,0.333,187.484,3.0,acoustic,3.408
Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67.0,277000.0,False,0.582,0.253,10.0,-11.43,1.0,0.0259,0.827,2.95e-05,0.091,0.294,90.186,4.0,acoustic,4.616666666666666
Ben Rector,Magic,Love Like This,61.0,214240.0,False,0.637,0.14,2.0,-11.472,1.0,0.0407,0.903,0.0,0.107,0.392,139.78,4.0,acoustic,3.570666666666667
Matt Nathanson,Some Mad Hope,Come On Get Higher,71.0,215173.0,False,0.672,0.623,9.0,-5.699,1.0,0.0297,0.241,0.0,0.0848,0.617,92.018,4.0,acoustic,3.5862166666666666
Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",49.0,296862.0,False,0.422,0.272,4.0,-10.772,0.0,0.0353,0.496,1.07e-05,0.0704,0.113,143.413,4.0,acoustic,4.9477
Parachute,The Way It Was,Kiss Me Slowly,61.0,235813.0,False,0.47,0.801,9.0,-6.426,1.0,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,4.0,acoustic,3.9302166666666665
Parachute,Wide Awake,Without You,61.0,228933.0,False,0.564,0.864,4.0,-5.121,1.0,0.0341,0.0761,0.0,0.182,0.534,95.984,4.0,acoustic,3.81555
Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,20.0,339196.0,False,0.521,0.495,5.0,-7.756,1.0,0.027,0.128,0.0,0.296,0.116,135.061,4.0,acoustic,5.653266666666667
