artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min
Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",Tezeta (Nostalgia),52.0,376640.0,False,0.547,0.356,5.0,-10.199,0.0,0.0366,0.954,0.917,0.0891,0.504,81.032,3.0,afrobeat,6.277333333333333
TJ Cream,The Vibe,The Vibe,26.0,163500.0,False,0.827,0.604,8.0,-8.976,0.0,0.244,0.643,1.86e-05,0.163,0.766,140.923,4.0,afrobeat,2.725
Caê,O Caçador e a Flecha,O Caçador e a Flecha,25.0,211850.0,False,0.795,0.598,0.0,-7.021,1.0,0.0329,0.312,0.00807,0.0552,0.883,108.992,4.0,afrobeat,3.5308333333333333
Afrocidade,Vivão,LadoB,25.0,180000.0,False,0.655,0.774,9.0,-5.295,0.0,0.171,0.0283,0.00235,0.0651,0.462,192.004,4.0,afrobeat,3.0
Jor'dan Armstrong,YOU,YOU,27.0,188133.0,False,0.701,0.718,2.0,-5.677,1.0,0.0301,0.00647,0.0,0.173,0.608,93.028,4.0,afrobeat,3.13555
BaianaSystem,BaianaSystem,BembaDub,26.0,168560.0,False,0.353,0.721,6.0,-6.3,0.0,0.129,0.0643,0.344,0.112,0.652,170.026,3.0,afrobeat,2.8093333333333335
Criolo,Espiral de Ilusão - Deluxe Edition,Dilúvio de Solidão,24.0,158040.0,False,0.73,0.646,9.0,-6.751,1.0,0.0345,0.669,0.00171,0.0866,0.938,98.012,4.0,afrobeat,2.634
Sarah Téibo;Sigag Lauren;Paola Carla,Belongs to You (EDM Remix),Belongs to You - EDM Remix,26.0,187500.0,False,0.746,0.828,0.0,-6.568,1.0,0.0409,0.113,0.0028,0.0635,0.31,104.974,4.0,afrobeat,3.125
Timoneki;Silvana Estrada,Vida,Mi Gente,25.0,237613.0,False,0.498,0.695,4.0,-6.89,0.0,0.0335,0.055,9.9e-06,0.126,0.59,175.815,4.0,afrobeat,3.9602166666666667
Jorge Drexler,Llueve,No pienses de más,27.0,190000.0,False,0.706,0.608,0.0,-8.304,1.0,0.031,0.227,4.36e-05,0.112,0.215,120.407,4.0,afrobeat,3.1666666666666665
Jorge Drexler,Codo Con Codo,Codo Con Codo,27.0,105438.0,False,0.667,0.218,4.0,-10.563,0.0,0.0351,0.941,1.45e-06,0.191,0.224,113.842,4.0,afrobeat,1.7573
Becca Folkes;Happi,12 Rounds (feat. Happi),12 Rounds (feat. Happi),25.0,166373.0,False,0.725,0.611,4.0,-7.218,0.0,0.128,0.086,0.0,0.504,0.415,101.012,4.0,afrobeat,2.772883333333333
La Misa Negra,La Misa Negra,Dueña de Mi,25.0,183213.0,False,0.587,0.686,9.0,-5.113,0.0,0.122,0.00428,0.00705,0.0428,0.71,183.938,4.0,afrobeat,3.05355
Jor'dan Armstrong,GRACE,GRACE,27.0,255761.0,False,0.681,0.579,2.0,-6.141,0.0,0.0434,0.212,0.0,0.333,0.588,120.037,4.0,afrobeat,4.262683333333333
Thiago França,A Espetacular Charanga do França,Cumbia Cumbia,25.0,207307.0,False,0.893,0.728,5.0,-7.742,0.0,0.0893,0.327,0.000288,0.041,0.924,94.067,4.0,afrobeat,3.4551166666666666
Money Chicha,Echo en Mexico,Quieren Efectos,24.0,167217.0,False,0.553,0.773,5.0,-6.446,1.0,0.0343,0.173,0.865,0.185,0.597,96.617,4.0,afrobeat,2.78695
Criolo,Espiral de Ilusão - Deluxe Edition,Lá Vem Você,26.0,220320.0,False,0.784,0.597,2.0,-6.307,1.0,0.068,0.685,0.000273,0.11,0.961,81.984,4.0,afrobeat,3.672
Breakestra,Hit the Floor,Show & Prove,26.0,177453.0,False,0.668,0.874,7.0,-2.771,1.0,0.0731,0.587,0.0,0.109,0.836,107.346,4.0,afrobeat,2.95755
Metá Metá,MetaL MetaL,Tristeza Não,27.0,134008.0,False,0.719,0.202,11.0,-9.86,0.0,0.0593,0.819,0.000266,0.0692,0.806,75.073,4.0,afrobeat,2.2334666666666667
Criolo,Espiral de Ilusão - Deluxe Edition,Nas Águas,24.0,235560.0,False,0.756,0.652,5.0,-5.466,1.0,0.0501,0.742,8.49e-06,0.079,0.697,115.83,4.0,afrobeat,3.926
Criolo,Espiral de Ilusão - Deluxe Edition,Menino Mimado,25.0,227640.0,False,0.827,0.603,0.0,-5.248,0.0,0.0354,0.552,0.000798,0.214,0.83,144.001,4.0,afrobeat,3.794
Africania,Ori,Oxalá Babá,26.0,193893.0,False,0.893,0.671,11.0,-8.777,1.0,0.0619,0.646,0.2,0.117,0.933,99.998,4.0,afrobeat,3.23155
Samuca e a Selva,Ditados Populares Dançantes,Vem,24.0,73293.0,False,0.596,0.358,1.0,-13.075,1.0,0.0366,0.221,0.00233,0.19,0.606,81.112,3.0,afrobeat,1.22155
Jorge Drexler,Cara B,Gracias - Cara B,26.0,228413.0,False,0.707,0.283,2.0,-16.795,1.0,0.0652,0.848,0.00054,0.339,0.796,79.771,4.0,afrobeat,3.8068833333333334
Jorge Drexler,Sea,Durante,27.0,197506.0,False,0.608,0.706,1.0,-10.1,1.0,0.138,0.00226,0.000728,0.329,0.504,177.914,4.0,afrobeat,3.2917666666666667
Los Amigos Invisibles,Dame el Mambo,Dame el Mambo,28.0,268580.0,False,0.738,0.868,2.0,-5.411,1.0,0.061,0.00763,0.0638,0.0844,0.802,119.988,4.0,afrobeat,4.476333333333334
Juanafé,La Makinita,Venga Mi Vida,26.0,311453.0,False,0.698,0.542,9.0,-5.923,0.0,0.0276,0.639,0.000261,0.104,0.724,88.058,4.0,afrobeat,5.190883333333334
Afrocidade,Afrocidade na Pista,Eu Vou no Gueto,26.0,234626.0,False,0.762,0.902,9.0,-4.341,0.0,0.0507,0.0256,3.93e-05,0.198,0.882,133.984,4.0,afrobeat,3.910433333333333
Los Amigos Invisibles;Superthriller,Cool Love,Give us your money (feat. Superthriller),27.0,258104.0,True,0.776,0.793,7.0,-7.276,1.0,0.16,0.0702,7.82e-06,0.288,0.771,112.003,4.0,afrobeat,4.301733333333333
Los Amigos Invisibles,Super Pop Venezuela,No Es Fácil Amar,29.0,249520.0,False,0.732,0.825,4.0,-7.509,0.0,0.0453,0.0707,0.00598,0.204,0.79,117.893,4.0,afrobeat,4.158666666666667
Abayomy Afrobeat Orquestra,Abra Sua Cabeça,Abra Sua Cabeça,25.0,387165.0,False,0.695,0.895,1.0,-8.202,1.0,0.048,0.116,0.734,0.311,0.962,120.069,4.0,afrobeat,6.45275
Jorge Drexler,Frontera,Corazón de cristal,27.0,253293.0,False,0.686,0.212,7.0,-16.961,1.0,0.0495,0.791,5.73e-05,0.288,0.189,134.12,4.0,afrobeat,4.22155
Calle 13,Los De Atrás Vienen Conmigo,Intro Crónica De Un Nacimiento,27.0,95733.0,True,0.443,0.453,8.0,-9.763,0.0,0.12,0.532,0.0,0.167,0.477,93.877,1.0,afrobeat,1.59555
Los Amigos Invisibles,El Paradise,Viajero Frecuente del Amor,28.0,252106.0,False,0.609,0.92,5.0,-4.989,0.0,0.034,0.00647,0.143,0.194,0.661,133.924,4.0,afrobeat,4.201766666666667
Newen Afrobeat,Curiche,Open Your Eyes,25.0,479053.0,False,0.802,0.702,5.0,-7.722,0.0,0.0525,0.229,0.581,0.173,0.855,113.073,4.0,afrobeat,7.984216666666667
The Budos Band,Burnt Offering,Magus Mountain,27.0,319026.0,False,0.486,0.803,7.0,-6.157,1.0,0.0363,7.89e-05,0.854,0.222,0.253,105.904,4.0,afrobeat,5.3171
BaianaSystem;Bule Bule,OXEAXEEXU,Vixe,26.0,66706.0,False,0.474,0.625,0.0,-6.241,1.0,0.0443,0.87,0.00138,0.237,0.553,108.396,4.0,afrobeat,1.1117666666666666
BaianaSystem;Tonho Matéria,OXEAXEEXU,Catraca,28.0,126120.0,False,0.742,0.939,7.0,-4.784,1.0,0.106,0.363,0.00604,0.157,0.965,154.955,4.0,afrobeat,2.102
BaianaSystem;Claudia Manzo,OXEAXEEXU,Capucha,28.0,174680.0,False,0.736,0.938,2.0,-4.176,1.0,0.156,0.168,5.29e-05,0.215,0.561,104.981,4.0,afrobeat,2.9113333333333333
Plastilina Mosh,Aquamosh,I´ve Got That Milton Pacheco Kinda Feeling - Melancolic Mix,28.0,262480.0,False,0.555,0.665,3.0,-10.47,0.0,0.0622,0.0352,0.596,0.116,0.399,178.064,4.0,afrobeat,4.374666666666666
Plastilina Mosh,Aquamosh,Monster Truck,28.0,258160.0,False,0.583,0.932,4.0,-7.734,0.0,0.0762,0.00208,0.0119,0.0674,0.492,96.899,4.0,afrobeat,4.302666666666667
BaianaSystem;Céu,OXEAXEEXU,O Que Não Me Destrói Me Fortalece,27.0,232773.0,False,0.737,0.571,11.0,-6.756,0.0,0.0303,0.0585,0.000707,0.126,0.655,119.054,4.0,afrobeat,3.87955
Jorge Drexler,Frontera,Camino a La Paloma,25.0,175866.0,False,0.778,0.243,9.0,-15.168,1.0,0.0596,0.64,0.00204,0.0823,0.714,166.027,3.0,afrobeat,2.9311
Jorge Drexler,Frontera,Madre Tierra,26.0,210266.0,False,0.594,0.305,7.0,-12.028,1.0,0.0482,0.718,0.0231,0.108,0.694,166.7,4.0,afrobeat,3.5044333333333335
Jackie Mittoo,The Keyboard King at Studio One,Killer Diller,27.0,167493.0,False,0.591,0.748,5.0,-7.136,1.0,0.0292,0.0679,0.837,0.286,0.961,127.636,4.0,afrobeat,2.79155
Los Amigos Invisibles,Repeat After Me,Invisible Love,29.0,274346.0,False,0.731,0.747,11.0,-6.612,0.0,0.0305,0.0136,0.0301,0.09,0.962,125.98,4.0,afrobeat,4.572433333333334
Prinx Emmanuel;Grace Lokwa,Kumama Papa (Tiktok refix version),Kumama Papa - Tiktok refix version,44.0,124840.0,False,0.631,0.502,5.0,-10.195,1.0,0.242,0.835,3.75e-05,0.155,0.776,156.183,4.0,afrobeat,2.0806666666666667
Cymande,Cymande,Dove,48.0,655440.0,False,0.439,0.475,6.0,-12.559,0.0,0.0361,0.449,0.253,0.0903,0.428,111.717,4.0,afrobeat,10.924
Menahan Street Band,Make the Road By Walking,The Traitor,55.0,162266.0,False,0.628,0.585,3.0,-8.036,0.0,0.0421,0.147,0.927,0.0465,0.618,100.95,4.0,afrobeat,2.7044333333333332
Monophonics;Kelly Finnigan,It's Only Us,Last One Standing,53.0,436840.0,False,0.588,0.576,6.0,-6.945,0.0,0.0367,0.218,0.0357,0.172,0.66,129.155,4.0,afrobeat,7.280666666666667
Jorge Drexler,Llueve,Tu piel,24.0,203000.0,False,0.868,0.367,5.0,-13.304,0.0,0.039,0.303,0.0066,0.0895,0.522,130.038,4.0,afrobeat,3.3833333333333333
Amplexos;Digitaldubs;Leão Etíope do Méier;Lenine,Segura,Segura,23.0,238293.0,False,0.538,0.533,0.0,-12.113,1.0,0.0518,0.0184,0.0133,0.109,0.365,74.973,4.0,afrobeat,3.97155
Criolo,Espiral de Ilusão - Deluxe Edition,Espiral de Ilusão,24.0,220800.0,False,0.772,0.33,2.0,-9.51,1.0,0.0342,0.886,0.001,0.136,0.472,124.041,4.0,afrobeat,3.68
Jor'dan Armstrong,Tomorrow,Tomorrow,24.0,237584.0,False,0.547,0.627,10.0,-7.311,0.0,0.0359,0.0513,0.00145,0.112,0.615,174.967,4.0,afrobeat,3.9597333333333333
Breakestra;Choklate,Stand up,Take My Time,25.0,300973.0,False,0.641,0.884,7.0,-5.472,1.0,0.0602,0.0567,0.0,0.0219,0.883,104.962,4.0,afrobeat,5.016216666666667
Jor'dan Armstrong,SHE,SHE,25.0,224000.0,False,0.704,0.692,11.0,-6.2,0.0,0.186,0.223,0.0,0.0796,0.614,92.527,4.0,afrobeat,3.7333333333333334
Jorge Drexler,Vaivén,Vaivén,25.0,175026.0,False,0.561,0.346,6.0,-17.938,1.0,0.0555,0.701,0.0129,0.0922,0.775,112.232,4.0,afrobeat,2.9171
QUITAPENAS,QUITAPENAS,Papaya,22.0,201116.0,False,0.568,0.901,2.0,-5.337,1.0,0.0983,0.0894,0.000215,0.184,0.745,78.567,4.0,afrobeat,3.351933333333333
Morbo y Mambo,Noches de Morbo Vol. 1,Rogers Nelson,25.0,322700.0,False,0.683,0.536,4.0,-8.362,0.0,0.0465,0.115,0.692,0.179,0.845,83.986,4.0,afrobeat,5.378333333333333
Los Amigos Invisibles,Cool Love,Cool Love 3,25.0,37702.0,False,0.549,0.489,4.0,-13.621,0.0,0.0458,0.35,0.926,0.122,0.648,77.593,1.0,afrobeat,0.6283666666666666
Calle 13,Los De Atrás Vienen Conmigo,Esto Con Eso,25.0,250080.0,True,0.659,0.74,7.0,-6.524,1.0,0.198,0.108,0.0,0.115,0.91,190.001,4.0,afrobeat,4.168
The Bongo Hop;Dafuniks,The Red Hill,The Red Hill,24.0,166866.0,False,0.776,0.788,1.0,-7.785,1.0,0.18,0.0732,0.0578,0.0773,0.871,99.91,4.0,afrobeat,2.7811
La Cumbia Chicharra;Emilie Rambaud,Hijo de Tigre,Mapalé,23.0,261240.0,False,0.595,0.633,1.0,-9.633,1.0,0.165,0.0172,0.209,0.0911,0.888,146.919,4.0,afrobeat,4.354
Fela Kuti,The Best of the Black President,Water No Get Enemy,48.0,591693.0,False,0.641,0.926,10.0,-7.718,0.0,0.0572,0.11,0.0246,0.09,0.883,90.934,4.0,afrobeat,9.86155
Cymande,Promised Heights,Brothers On The Slide,56.0,251400.0,False,0.815,0.602,7.0,-10.192,0.0,0.196,0.3,0.00548,0.0737,0.805,109.704,4.0,afrobeat,4.19
Jor'dan Armstrong,Blsd (Deluxe),Clout,25.0,217674.0,False,0.699,0.62,7.0,-4.885,1.0,0.185,0.0887,0.0,0.17,0.311,158.04,4.0,afrobeat,3.6279
Los Amigos Invisibles,Arepa 3000,Llegaste Tarde,26.0,416040.0,False,0.49,0.82,5.0,-7.138,1.0,0.0684,0.799,0.0558,0.131,0.854,102.572,4.0,afrobeat,6.934
Calle 13,Los De Atrás Vienen Conmigo,Tal Para Cual,27.0,227826.0,True,0.726,0.871,4.0,-4.826,0.0,0.111,0.0714,7.87e-06,0.157,0.773,175.999,4.0,afrobeat,3.7971
Orgone,The Killion Floor,Duck and Cover,25.0,169800.0,False,0.786,0.729,11.0,-8.323,0.0,0.0425,0.0484,0.844,0.151,0.907,100.995,4.0,afrobeat,2.83
Jorge Drexler,Una cancion me trajo hasta aqui,Una canción me trajo hasta aquí,26.0,198773.0,False,0.669,0.843,0.0,-5.726,1.0,0.03,0.0641,0.000297,0.109,0.842,131.461,4.0,afrobeat,3.312883333333333
La Misa Negra,Misa de Medianoche,Cumbia Milagrosa,23.0,203646.0,False,0.525,0.424,9.0,-9.356,0.0,0.101,0.00552,0.0044,0.062,0.631,203.01,4.0,afrobeat,3.3941
Afrocidade,Vivão,Direto de Camaçacity,25.0,173071.0,False,0.821,0.779,10.0,-4.283,0.0,0.113,0.0976,0.0,0.0659,0.464,105.003,4.0,afrobeat,2.884516666666667
Samuca e a Selva,Ditados Populares Dançantes,Feitiço,24.0,262731.0,False,0.868,0.793,6.0,-3.828,1.0,0.0315,0.255,1.31e-06,0.0884,0.972,121.977,4.0,afrobeat,4.37885
Grupo Fantasma,Sonidos Gold,Arroz Con Frijoles,24.0,241520.0,False,0.382,0.931,6.0,-7.296,0.0,0.0591,0.137,0.649,0.0553,0.801,105.214,4.0,afrobeat,4.025333333333333
Jorge Drexler,Cara B,Disneylandia - Cara B,25.0,285880.0,False,0.575,0.295,2.0,-19.252,0.0,0.204,0.877,0.000763,0.336,0.564,79.991,4.0,afrobeat,4.764666666666667
Calle 13,Los De Atrás Vienen Conmigo,Los De Atrás Vienen Conmigo,26.0,216093.0,True,0.641,0.66,2.0,-5.595,1.0,0.357,0.208,0.0,0.128,0.549,169.881,4.0,afrobeat,3.60155
Juanafé,Afrorumba Chilenera,El Volcán,25.0,174102.0,False,0.715,0.897,2.0,-4.822,0.0,0.0635,0.432,0.0,0.15,0.839,96.891,3.0,afrobeat,2.9017
The Bongo Hop;Maikcel,"Satingarona, Vol. 1",Pa' Congo,24.0,221406.0,False,0.723,0.951,7.0,-5.076,1.0,0.0467,0.0681,0.0034,0.0478,0.762,110.076,4.0,afrobeat,3.6901
The Budos Band,Burnt Offering,Black Hills,24.0,268333.0,False,0.44,0.728,5.0,-5.895,0.0,0.0348,0.00144,0.848,0.253,0.518,136.243,4.0,afrobeat,4.472216666666666
Samuca e a Selva,Feitiço,Feitiço,24.0,262425.0,False,0.869,0.797,6.0,-4.455,1.0,0.0318,0.414,0.0,0.0852,0.973,121.996,4.0,afrobeat,4.37375
Juanafé;La Flor del Recuerdo,Mi Último Fracaso,Mi Último Fracaso,23.0,265086.0,False,0.457,0.332,0.0,-10.365,1.0,0.0356,0.791,8.22e-06,0.102,0.305,164.096,3.0,afrobeat,4.4181
William Onyeabor,Atomic Bomb,Beautiful Baby,24.0,505973.0,False,0.852,0.442,11.0,-9.292,1.0,0.0403,0.446,0.228,0.0879,0.946,107.426,4.0,afrobeat,8.432883333333333
Juanafé;Carmen Lienqueo,Parrilladas Vargas (Vol. II),Canto para Siempre,24.0,319077.0,False,0.43,0.829,4.0,-9.146,0.0,0.162,0.0845,0.0,0.112,0.445,141.277,3.0,afrobeat,5.31795
Los Amigos Invisibles,Commercial,Es la Verdad,26.0,305693.0,False,0.623,0.952,7.0,-7.348,1.0,0.0391,0.241,0.0113,0.121,0.714,108.004,4.0,afrobeat,5.094883333333334
Lack Of Afro;Wax;Herbal T,My Groove Your Move (Bonus Version),International,25.0,272466.0,False,0.659,0.736,11.0,-8.119,0.0,0.202,0.00473,0.0,0.239,0.63,96.971,4.0,afrobeat,4.5411
Mandrill,We Are One,Can You Get It,23.0,428853.0,False,0.854,0.928,0.0,-7.29,1.0,0.0621,0.152,0.0189,0.0481,0.782,122.487,4.0,afrobeat,7.14755
Metá Metá,MetaL MetaL,Orunmilá,25.0,243617.0,False,0.623,0.66,5.0,-5.582,0.0,0.0546,0.405,1.68e-05,0.136,0.961,106.887,4.0,afrobeat,4.0602833333333335
Samuca e a Selva;Illy,Ditados Populares Dançantes,Lambe-Lambe,23.0,205511.0,False,0.646,0.701,5.0,-6.938,0.0,0.0444,0.00283,0.00146,0.0414,0.944,172.055,4.0,afrobeat,3.4251833333333335
Juanafé,Afrorumba Chilenera,Afrorumbachilenera,25.0,279376.0,False,0.588,0.745,9.0,-5.754,0.0,0.0886,0.515,0.0,0.179,0.432,95.071,4.0,afrobeat,4.656266666666666
The New Mastersounds;Eddie Roberts;Lamar Williams Jr.,The Deplar Effect,Meet You In The Sunshine,26.0,364053.0,False,0.579,0.833,6.0,-9.369,0.0,0.0428,0.0785,0.165,0.221,0.732,95.838,4.0,afrobeat,6.06755
BaianaSystem;Makavelli;Jay Mitta,OXEAXEEXU,Nauliza,26.0,220613.0,False,0.618,0.942,4.0,-4.511,0.0,0.13,0.0359,0.00416,0.247,0.736,170.005,4.0,afrobeat,3.6768833333333335
Orquestra Brasileira de Música Jamaicana,Volume II,País Tropical,24.0,209066.0,False,0.816,0.77,5.0,-5.94,1.0,0.032,0.61,0.948,0.323,0.964,127.971,4.0,afrobeat,3.4844333333333335
Plastilina Mosh,Aquamosh,Banano´s Bar,27.0,348826.0,False,0.605,0.842,1.0,-9.482,1.0,0.0553,0.0133,0.664,0.341,0.39,116.151,4.0,afrobeat,5.813766666666667
Los Amigos Invisibles;Kinky,El Paradise,Anestesiada (feat. Kinky),26.0,224586.0,False,0.736,0.951,4.0,-3.983,0.0,0.0436,0.0149,0.329,0.0833,0.932,116.001,4.0,afrobeat,3.7431
Jorge Drexler,Frontera,Memoria del cuero,25.0,304440.0,False,0.674,0.869,2.0,-9.837,1.0,0.0398,0.374,0.154,0.089,0.813,117.999,4.0,afrobeat,5.074
Los Amigos Invisibles;Los Auténticos Decadentes,El Paradise,Aquí Nadie Esta Sano (feat. Los Auténticos Decadentes),27.0,226613.0,False,0.768,0.91,7.0,-2.398,1.0,0.0343,0.015,0.000121,0.143,0.96,123.023,4.0,afrobeat,3.776883333333333
BaianaSystem;Tropkillaz,Saci (Remix),Saci (Remix),42.0,183779.0,False,0.974,0.922,11.0,-3.983,0.0,0.174,0.0974,1.08e-06,0.0978,0.657,127.989,4.0,afrobeat,3.0629833333333334
